127.0.0.1 - - [19/Feb/2021:17:34:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:52 +0900] "GET /board/view.action?seq=364&gobackURL=list.action?searchType=subject HTTP/1.1" 200 14687
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:52 +0900] "GET /board/commentList.action?parentSeq=364&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:53 +0900] "GET /board/getCommentTotalPage.action?parentSeq=364&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:54 +0900] "GET /board/list.action HTTP/1.1" 200 23486
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:58 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%87%E3%84%B9 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:58 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%87%E3%84%B9 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:58 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%87%E3%84%B9 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:58 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%87%E3%84%B9%E3%85%87 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%87%E3%84%B9 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%87 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E%E3%85%8E%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:34:59 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E%E3%85%8E%E3%85%8E%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:01 +0900] "GET /board/list.action?searchType=subject&searchWord=%E3%85%8E%E3%85%8E%E3%85%8E%E3%85%8E HTTP/1.1" 200 12251
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:03 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:03 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8E%E3%85%8E HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:03 +0900] "GET /board/list.action?searchType=subject&searchWord=%E3%85%8E%E3%85%8E HTTP/1.1" 200 12227
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:06 +0900] "GET /board/list.action HTTP/1.1" 200 23486
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:08 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%E3%85%8D HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:09 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%98 HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:09 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%AD HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:09 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4 HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:09 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%98%EC%9E%8A HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:09 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%80 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:09 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%95 HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:10 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%95 HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:10 +0900] "GET /board/wordSearchShow.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%95 HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:10 +0900] "GET /board/list.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%95 HTTP/1.1" 200 23652
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:13 +0900] "GET /board/view.action?seq=403&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%25ED%258E%2598%25EC%259D%25B4%25EC%25A7%2595 HTTP/1.1" 200 14843
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:13 +0900] "GET /board/commentList.action?parentSeq=403&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:13 +0900] "GET /board/getCommentTotalPage.action?parentSeq=403&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:14 +0900] "GET /board/list.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%95 HTTP/1.1" 200 23652
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:19 +0900] "GET /board/list.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%95&currentShowPageNo=5 HTTP/1.1" 200 23672
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:20 +0900] "GET /board/view.action?seq=363&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%25ED%258E%2598%25EC%259D%25B4%25EC%25A7%2595%26currentShowPageNo%3D5 HTTP/1.1" 200 14937
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:20 +0900] "GET /board/commentList.action?parentSeq=363&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:20 +0900] "GET /board/getCommentTotalPage.action?parentSeq=363&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:35:21 +0900] "GET /board/list.action?searchType=subject&searchWord=%ED%8E%98%EC%9D%B4%EC%A7%95&currentShowPageNo=5 HTTP/1.1" 200 23672
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:36:32 +0900] "GET /board/list.action HTTP/1.1" 200 23486
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:36:34 +0900] "GET /board/list.action HTTP/1.1" 200 23486
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:03 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=6 HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:04 +0900] "GET /board/view.action?seq=351&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D6 HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:04 +0900] "GET /board/commentList.action?parentSeq=351&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:04 +0900] "GET /board/getCommentTotalPage.action?parentSeq=351&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:06 +0900] "GET /board/edit.action?seq=351&gobackURL=list.action?searchType=subject&searchWord=&currentShowPageNo=6 HTTP/1.1" 200 12680
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:15 +0900] "POST /board/checkpw.action HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:15 +0900] "POST /board/editEnd.action HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:16 +0900] "GET /board/view.action?seq=351&gobackURL=list.action?searchType=subject HTTP/1.1" 200 14714
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:16 +0900] "GET /board/commentList.action?parentSeq=351&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:16 +0900] "GET /board/getCommentTotalPage.action?parentSeq=351&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:19 +0900] "GET /board/list.action?searchType=subject HTTP/1.1" 200 23505
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:42 +0900] "GET /board/view.action?seq=410&gobackURL=list.action%3FsearchType%3Dsubject HTTP/1.1" 200 14457
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:42 +0900] "GET /board/commentList.action?parentSeq=410&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:41:42 +0900] "GET /board/getCommentTotalPage.action?parentSeq=410&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:00 +0900] "GET /board/list.action?searchType=subject HTTP/1.1" 200 23505
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:00 +0900] "GET /board/list.action?searchType=subject HTTP/1.1" 200 23505
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:00 +0900] "GET /board/list.action?searchType=subject HTTP/1.1" 200 23505
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:02 +0900] "GET /board/view.action?seq=408&gobackURL=list.action%3FsearchType%3Dsubject HTTP/1.1" 200 14821
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:02 +0900] "GET /board/commentList.action?parentSeq=408&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:02 +0900] "GET /board/getCommentTotalPage.action?parentSeq=408&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:05 +0900] "GET /board/add.action?fk_seq=408&groupno=197&depthno=0 HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:30 +0900] "POST /board/addEnd.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:30 +0900] "GET /board/list.action;jsessionid=07C75FB8E6173198EB8A5197FBF38CAF HTTP/1.1" 200 23496
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:35 +0900] "GET /board/view.action?seq=412&gobackURL=list.action%3Bjsessionid%3D07C75FB8E6173198EB8A5197FBF38CAF HTTP/1.1" 200 28136
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:35 +0900] "GET /board/commentList.action?parentSeq=412&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:35 +0900] "GET /board/getCommentTotalPage.action?parentSeq=412&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:44:36 +0900] "GET /board/add.action?fk_seq=412&groupno=197&depthno=1 HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:00 +0900] "POST /board/addEnd.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:00 +0900] "GET /board/list.action;jsessionid=D80D66017F411CA1A85AC2C71C90D25A HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:06 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3Bjsessionid%3DD80D66017F411CA1A85AC2C71C90D25A HTTP/1.1" 200 27626
